name,city,rating,types,latitude,longitude,description,category,price_level,family_type,special_features
Vinpearl Land Times City,Hanoi,4.6,"['theme_park', 'family', 'indoor']",21.0255,105.8542,"Công viên giải trí trong nhà cho gia đình","indoor_theme_park",4.0,"Family","['indoor_rides', 'kids_zone', 'family_activities']"
Hanoi Water Park,Hanoi,4.4,"['water_park', 'family', 'outdoor']",21.0255,105.8542,"Công viên nước cho gia đình","outdoor_water_park",3.0,"Family","['water_slides', 'swimming_pools', 'kids_area']"
Hanoi Zoo,Hanoi,4.3,"['zoo', 'family', 'educational']",21.0255,105.8542,"Sở thú Hà Nội giáo dục","educational_zoo",2.0,"Family","['animal_exhibits', 'educational_programs', 'kids_activities']"
Hanoi Botanical Garden,Hanoi,4.2,"['garden', 'family', 'nature']",21.0255,105.8542,"Vườn bách thảo Hà Nội","nature_garden",1.0,"Family","['plant_collections', 'nature_walks', 'educational_tours']"
Hanoi Children's Palace,Hanoi,4.1,"['palace', 'children', 'educational']",21.0255,105.8542,"Cung thiếu nhi Hà Nội","children_palace",1.0,"Family","['children_activities', 'educational_programs', 'cultural_events']"
Dam Sen Water Park,Ho Chi Minh City,4.5,"['water_park', 'family', 'outdoor']",10.7796,106.6992,"Công viên nước Đầm Sen","outdoor_water_park",3.0,"Family","['water_slides', 'swimming_pools', 'kids_area']"
Suoi Tien Theme Park,Ho Chi Minh City,4.6,"['theme_park', 'family', 'cultural']",10.7796,106.6992,"Công viên Suối Tiên văn hóa","cultural_theme_park",3.0,"Family","['cultural_rides', 'water_park', 'family_activities']"
Saigon Zoo and Botanical Garden,Ho Chi Minh City,4.4,"['zoo', 'family', 'educational']",10.7796,106.6992,"Sở thú và vườn bách thảo","educational_zoo",2.0,"Family","['animal_exhibits', 'botanical_garden', 'educational_programs']"
Ho Chi Minh City Children's Palace,Ho Chi Minh City,4.3,"['palace', 'children', 'educational']",10.7796,106.6992,"Cung thiếu nhi TP.HCM","children_palace",1.0,"Family","['children_activities', 'educational_programs', 'cultural_events']"
Landmark 81 SkyPark,Ho Chi Minh City,4.7,"['skypark', 'family', 'viewpoint']",10.7796,106.6992,"SkyPark tầng cao cho gia đình","family_skypark",4.0,"Family","['city_view', 'family_activities', 'observation_deck']"
Hoi An Memories Show,Hoi An,4.5,"['show', 'family', 'cultural']",15.8786049,108.3348312,"Chương trình Hội An Memories","cultural_show",3.0,"Family","['cultural_performance', 'family_entertainment', 'historical_story']"
Hoi An Handicraft Village,Hoi An,4.4,"['village', 'family', 'educational']",15.8786049,108.3348312,"Làng nghề thủ công Hội An","educational_village",2.0,"Family","['handicraft_demonstration', 'family_learning', 'traditional_skills']"
Hoi An Lantern Making,Hoi An,4.3,"['workshop', 'family', 'creative']",15.8786049,108.3348312,"Làm đèn lồng Hội An","creative_workshop",2.0,"Family","['lantern_making', 'family_activity', 'cultural_experience']"
Hoi An Cooking Class,Hoi An,4.6,"['cooking', 'family', 'educational']",15.8786049,108.3348312,"Lớp học nấu ăn Hội An","educational_cooking",3.0,"Family","['cooking_class', 'family_learning', 'local_cuisine']"
Hoi An Night Market,Hoi An,4.2,"['market', 'family', 'shopping']",15.8786049,108.3348312,"Chợ đêm Hội An cho gia đình","family_market",2.0,"Family","['night_shopping', 'family_activities', 'local_products']"
Hue Imperial City Tour,Hue,4.5,"['tour', 'family', 'educational']",16.4689732,107.578125,"Tour Hoàng thành Huế cho gia đình","educational_tour",2.0,"Family","['historical_tour', 'family_learning', 'cultural_heritage']"
Hue Perfume River Cruise,Hue,4.4,"['cruise', 'family', 'scenic']",16.4689732,107.578125,"Du thuyền sông Hương cho gia đình","family_cruise",3.0,"Family","['river_cruise', 'family_activity', 'scenic_view']"
Hue Traditional Music Show,Hue,4.3,"['show', 'family', 'cultural']",16.4689732,107.578125,"Chương trình nhạc truyền thống","cultural_show",2.0,"Family","['traditional_music', 'family_entertainment', 'cultural_experience']"
Hue Calligraphy Class,Hue,4.2,"['class', 'family', 'educational']",16.4689732,107.578125,"Lớp học thư pháp Huế","educational_class",2.0,"Family","['calligraphy_class', 'family_learning', 'cultural_skill']"
Hue Royal Costume Experience,Hue,4.1,"['experience', 'family', 'cultural']",16.4689732,107.578125,"Trải nghiệm trang phục hoàng gia","cultural_experience",2.0,"Family","['royal_costume', 'family_activity', 'cultural_experience']"
Ba Na Hills Fantasy Park,Da Nang,4.7,"['theme_park', 'family', 'mountain']",16.0567,108.2456,"Công viên Fantasy trên núi Bà Nà","mountain_theme_park",4.0,"Family","['mountain_rides', 'family_activities', 'scenic_view']"
Asia Park Da Nang,Da Nang,4.5,"['theme_park', 'family', 'cultural']",16.0567,108.2456,"Công viên châu Á Đà Nẵng","cultural_theme_park",3.0,"Family","['asian_themed_rides', 'family_activities', 'cultural_experience']"
Da Nang Helio Center,Da Nang,4.4,"['center', 'family', 'entertainment']",16.0567,108.2456,"Trung tâm giải trí Helio","family_entertainment",3.0,"Family","['entertainment_center', 'family_activities', 'dining']"
Da Nang Water Park,Da Nang,4.3,"['water_park', 'family', 'outdoor']",16.0567,108.2456,"Công viên nước Đà Nẵng","outdoor_water_park",3.0,"Family","['water_slides', 'swimming_pools', 'kids_area']"
Da Nang Beach Activities,Da Nang,4.6,"['beach', 'family', 'outdoor']",16.0567,108.2456,"Hoạt động bãi biển cho gia đình","family_beach",2.0,"Family","['beach_activities', 'family_fun', 'water_sports']"
Vinpearl Land Nha Trang,Nha Trang,4.8,"['theme_park', 'family', 'island']",12.2388,109.1967,"Công viên Vinpearl Land đảo","island_theme_park",4.0,"Family","['island_rides', 'water_park', 'family_activities']"
Nha Trang Oceanographic Institute,Nha Trang,4.4,"['institute', 'family', 'educational']",12.2388,109.1967,"Viện Hải dương học Nha Trang","educational_institute",2.0,"Family","['marine_exhibits', 'educational_programs', 'family_learning']"
Nha Trang Beach Activities,Nha Trang,4.5,"['beach', 'family', 'outdoor']",12.2388,109.1967,"Hoạt động bãi biển Nha Trang","family_beach",2.0,"Family","['beach_activities', 'family_fun', 'water_sports']"
Nha Trang Island Hopping,Nha Trang,4.6,"['island', 'family', 'adventure']",12.2388,109.1967,"Du lịch đảo Nha Trang cho gia đình","family_island_tour",3.0,"Family","['island_hopping', 'family_adventure', 'snorkeling']"
Nha Trang Diving Center,Nha Trang,4.3,"['diving', 'family', 'adventure']",12.2388,109.1967,"Trung tâm lặn Nha Trang","family_diving",3.0,"Family","['diving_lessons', 'family_adventure', 'marine_exploration']"
Da Lat Flower Garden,Da Lat,4.5,"['garden', 'family', 'nature']",11.9404,108.4583,"Vườn hoa Đà Lạt cho gia đình","family_garden",2.0,"Family","['flower_gardens', 'family_activities', 'nature_walks']"
Da Lat Cable Car,Da Lat,4.6,"['cable_car', 'family', 'scenic']",11.9404,108.4583,"Cáp treo Đà Lạt cho gia đình","family_cable_car",3.0,"Family","['cable_car_ride', 'family_activity', 'mountain_view']"
Da Lat Maze Bar,Da Lat,4.4,"['maze', 'family', 'adventure']",11.9404,108.4583,"Mê cung Đà Lạt cho gia đình","family_maze",2.0,"Family","['maze_adventure', 'family_fun', 'outdoor_activity']"
Da Lat Strawberry Farm,Da Lat,4.3,"['farm', 'family', 'educational']",11.9404,108.4583,"Trang trại dâu tây Đà Lạt","educational_farm",2.0,"Family","['strawberry_picking', 'family_learning', 'farm_experience']"
Da Lat Coffee Plantation,Da Lat,4.2,"['plantation', 'family', 'educational']",11.9404,108.4583,"Đồn điền cà phê Đà Lạt","educational_plantation",2.0,"Family","['coffee_tour', 'family_learning', 'agricultural_experience']"
Vinpearl Safari Phu Quoc,Phu Quoc,4.7,"['safari', 'family', 'wildlife']",10.2899,103.9840,"Safari Phú Quốc cho gia đình","family_safari",4.0,"Family","['wildlife_safari', 'family_education', 'animal_conservation']"
Grand World Phu Quoc,Phu Quoc,4.6,"['world', 'family', 'entertainment']",10.2899,103.9840,"Grand World Phú Quốc giải trí","family_entertainment",4.0,"Family","['entertainment_complex', 'family_activities', 'cultural_shows']"
Phu Quoc Beach Activities,Phu Quoc,4.8,"['beach', 'family', 'outdoor']",10.2899,103.9840,"Hoạt động bãi biển Phú Quốc","family_beach",2.0,"Family","['beach_activities', 'family_fun', 'water_sports']"
Phu Quoc Island Hopping,Phu Quoc,4.7,"['island', 'family', 'adventure']",10.2899,103.9840,"Du lịch đảo Phú Quốc cho gia đình","family_island_tour",3.0,"Family","['island_hopping', 'family_adventure', 'snorkeling']"
Phu Quoc Pearl Farm,Phu Quoc,4.4,"['farm', 'family', 'educational']",10.2899,103.9840,"Trang trại ngọc trai Phú Quốc","educational_farm",2.0,"Family","['pearl_farm_tour', 'family_learning', 'pearl_cultivation']"
Phu Quoc Fish Sauce Factory,Phu Quoc,4.3,"['factory', 'family', 'educational']",10.2899,103.9840,"Nhà máy nước mắm Phú Quốc","educational_factory",2.0,"Family","['fish_sauce_tour', 'family_learning', 'traditional_craft']"
