name,city,rating,types,latitude,longitude,description,category,price_level,wellness_type,special_features
L'Occitane Spa,Hanoi,4.6,"['spa', 'luxury', 'french']",21.0255,105.8542,"Spa cao cấp phong cách Pháp","luxury_spa",5.0,"Spa","['french_treatments', 'luxury_facilities', 'professional_therapists']"
Serene Spa,Hanoi,4.4,"['spa', 'traditional', 'vietnamese']",21.0255,105.8542,"Spa truyền thống Việt Nam","traditional_spa",3.0,"Spa","['vietnamese_massage', 'traditional_treatments', 'herbal_therapy']"
Oriental Spa,Hanoi,4.5,"['spa', 'asian', 'holistic']",21.0255,105.8542,"Spa châu Á toàn diện","holistic_spa",4.0,"Spa","['asian_treatments', 'holistic_approach', 'wellness_programs']"
Zen Spa,Hanoi,4.3,"['spa', 'zen', 'meditation']",21.0255,105.8542,"Spa thiền định Zen","zen_spa",3.0,"Spa","['meditation', 'zen_treatments', 'peaceful_atmosphere']"
Heritage Spa,Hanoi,4.2,"['spa', 'heritage', 'traditional']",21.0255,105.8542,"Spa di sản truyền thống","heritage_spa",2.0,"Spa","['traditional_treatments', 'heritage_atmosphere', 'cultural_experience']"
The Spa at The Reverie,Ho Chi Minh City,4.8,"['spa', 'luxury', 'international']",10.7796,106.6992,"Spa cao cấp quốc tế","luxury_spa",5.0,"Spa","['international_treatments', 'luxury_facilities', 'world_class_service']"
L'Apothiquaire Spa,Ho Chi Minh City,4.6,"['spa', 'french', 'apothecary']",10.7796,106.6992,"Spa dược liệu Pháp","apothecary_spa",4.0,"Spa","['french_treatments', 'herbal_remedies', 'apothecary_approach']"
Miu Miu Spa,Ho Chi Minh City,4.5,"['spa', 'modern', 'contemporary']",10.7796,106.6992,"Spa hiện đại đương đại","contemporary_spa",3.0,"Spa","['modern_treatments', 'contemporary_design', 'innovative_therapies']"
Zen Day Spa,Ho Chi Minh City,4.4,"['spa', 'zen', 'day_spa']",10.7796,106.6992,"Spa thiền định ban ngày","day_spa",3.0,"Spa","['day_treatments', 'zen_atmosphere', 'relaxation']"
Heritage Spa Saigon,Ho Chi Minh City,4.3,"['spa', 'heritage', 'colonial']",10.7796,106.6992,"Spa di sản thuộc địa","colonial_spa",3.0,"Spa","['colonial_atmosphere', 'heritage_treatments', 'historical_setting']"
Anantara Spa,Hoi An,4.7,"['spa', 'luxury', 'riverside']",15.8786049,108.3348312,"Spa cao cấp bên sông","riverside_spa",4.0,"Spa","['riverside_setting', 'luxury_treatments', 'natural_surroundings']"
Hoi An Spa,Hoi An,4.5,"['spa', 'traditional', 'local']",15.8786049,108.3348312,"Spa truyền thống địa phương","local_spa",3.0,"Spa","['local_treatments', 'traditional_methods', 'cultural_experience']"
Ancient House Spa,Hoi An,4.4,"['spa', 'ancient', 'heritage']",15.8786049,108.3348312,"Spa nhà cổ di sản","heritage_spa",3.0,"Spa","['ancient_setting', 'heritage_treatments', 'historical_atmosphere']"
Zen Spa Hoi An,Hoi An,4.3,"['spa', 'zen', 'peaceful']",15.8786049,108.3348312,"Spa thiền định yên tĩnh","zen_spa",2.0,"Spa","['zen_atmosphere', 'peaceful_treatments', 'meditation']"
Riverside Spa,Hoi An,4.2,"['spa', 'riverside', 'natural']",15.8786049,108.3348312,"Spa bên sông tự nhiên","natural_spa",2.0,"Spa","['natural_setting', 'riverside_atmosphere', 'organic_treatments']"
Azerai Spa,Hue,4.6,"['spa', 'luxury', 'imperial']",16.4689732,107.578125,"Spa cao cấp hoàng gia","imperial_spa",4.0,"Spa","['imperial_setting', 'luxury_treatments', 'royal_atmosphere']"
Hue Traditional Spa,Hue,4.4,"['spa', 'traditional', 'royal']",16.4689732,107.578125,"Spa truyền thống hoàng gia","royal_spa",3.0,"Spa","['royal_treatments', 'traditional_methods', 'imperial_heritage']"
Imperial Spa,Hue,4.3,"['spa', 'imperial', 'historic']",16.4689732,107.578125,"Spa hoàng cung lịch sử","historic_spa",3.0,"Spa","['historic_setting', 'imperial_treatments', 'cultural_heritage']"
Zen Spa Hue,Hue,4.2,"['spa', 'zen', 'meditation']",16.4689732,107.578125,"Spa thiền định Huế","zen_spa",2.0,"Spa","['zen_atmosphere', 'meditation_treatments', 'peaceful_setting']"
Heritage Spa Hue,Hue,4.1,"['spa', 'heritage', 'cultural']",16.4689732,107.578125,"Spa di sản văn hóa","cultural_spa",2.0,"Spa","['cultural_heritage', 'traditional_treatments', 'historical_atmosphere']"
Fusion Maia Spa,Da Nang,4.8,"['spa', 'luxury', 'wellness']",16.0567,108.2456,"Spa cao cấp wellness","wellness_spa",5.0,"Spa","['wellness_programs', 'luxury_treatments', 'holistic_approach']"
InterContinental Spa,Da Nang,4.7,"['spa', 'luxury', 'beachfront']",16.0567,108.2456,"Spa cao cấp bãi biển","beachfront_spa",4.0,"Spa","['beachfront_setting', 'luxury_treatments', 'ocean_view']"
Hyatt Regency Spa,Da Nang,4.6,"['spa', 'luxury', 'resort']",16.0567,108.2456,"Spa cao cấp resort","resort_spa",4.0,"Spa","['resort_setting', 'luxury_treatments', 'comprehensive_programs']"
Da Nang Spa,Da Nang,4.4,"['spa', 'modern', 'local']",16.0567,108.2456,"Spa hiện đại địa phương","local_spa",3.0,"Spa","['modern_treatments', 'local_expertise', 'contemporary_facilities']"
Beachfront Spa,Da Nang,4.3,"['spa', 'beachfront', 'natural']",16.0567,108.2456,"Spa bãi biển tự nhiên","natural_spa",3.0,"Spa","['beachfront_setting', 'natural_treatments', 'ocean_atmosphere']"
Amanoi Spa,Nha Trang,4.9,"['spa', 'luxury', 'wellness']",12.2388,109.1967,"Spa cao cấp wellness","wellness_spa",5.0,"Spa","['wellness_programs', 'luxury_treatments', 'holistic_approach']"
Six Senses Spa,Nha Trang,4.8,"['spa', 'luxury', 'eco']",12.2388,109.1967,"Spa cao cấp sinh thái","eco_spa",5.0,"Spa","['eco_friendly', 'luxury_treatments', 'sustainable_approach']"
Sheraton Spa,Nha Trang,4.6,"['spa', 'luxury', 'beachfront']",12.2388,109.1967,"Spa cao cấp bãi biển","beachfront_spa",4.0,"Spa","['beachfront_setting', 'luxury_treatments', 'ocean_view']"
Nha Trang Spa,Nha Trang,4.4,"['spa', 'traditional', 'local']",12.2388,109.1967,"Spa truyền thống địa phương","local_spa",3.0,"Spa","['traditional_treatments', 'local_expertise', 'cultural_experience']"
Island Spa,Nha Trang,4.3,"['spa', 'island', 'natural']",12.2388,109.1967,"Spa đảo tự nhiên","natural_spa",3.0,"Spa","['island_setting', 'natural_treatments', 'tropical_atmosphere']"
Dalat Palace Spa,Da Lat,4.6,"['spa', 'luxury', 'mountain']",11.9404,108.4583,"Spa cao cấp trên núi","mountain_spa",4.0,"Spa","['mountain_setting', 'luxury_treatments', 'cool_climate']"
Ana Mandara Spa,Da Lat,4.5,"['spa', 'luxury', 'villa']",11.9404,108.4583,"Spa cao cấp villa","villa_spa",4.0,"Spa","['villa_setting', 'luxury_treatments', 'private_atmosphere']"
Mountain Spa,Da Lat,4.4,"['spa', 'mountain', 'natural']",11.9404,108.4583,"Spa núi tự nhiên","natural_spa",3.0,"Spa","['mountain_setting', 'natural_treatments', 'fresh_air']"
Cool Climate Spa,Da Lat,4.3,"['spa', 'cool', 'climate']",11.9404,108.4583,"Spa khí hậu mát mẻ","climate_spa",3.0,"Spa","['cool_climate', 'refreshing_treatments', 'mountain_air']"
Heritage Spa Da Lat,Da Lat,4.2,"['spa', 'heritage', 'colonial']",11.9404,108.4583,"Spa di sản thuộc địa","colonial_spa",2.0,"Spa","['colonial_atmosphere', 'heritage_treatments', 'historical_setting']"
JW Marriott Spa,Phu Quoc,4.8,"['spa', 'luxury', 'beachfront']",10.2899,103.9840,"Spa cao cấp bãi biển","beachfront_spa",5.0,"Spa","['beachfront_setting', 'luxury_treatments', 'ocean_view']"
Salinda Spa,Phu Quoc,4.7,"['spa', 'luxury', 'island']",10.2899,103.9840,"Spa cao cấp đảo","island_spa",4.0,"Spa","['island_setting', 'luxury_treatments', 'tropical_atmosphere']"
La Veranda Spa,Phu Quoc,4.6,"['spa', 'luxury', 'colonial']",10.2899,103.9840,"Spa cao cấp thuộc địa","colonial_spa",4.0,"Spa","['colonial_setting', 'luxury_treatments', 'historical_atmosphere']"
Fusion Spa,Phu Quoc,4.5,"['spa', 'wellness', 'holistic']",10.2899,103.9840,"Spa wellness toàn diện","holistic_spa",3.0,"Spa","['wellness_programs', 'holistic_treatments', 'comprehensive_approach']"
Island Wellness Spa,Phu Quoc,4.4,"['spa', 'wellness', 'island']",10.2899,103.9840,"Spa wellness đảo","island_wellness",3.0,"Spa","['island_setting', 'wellness_programs', 'tropical_wellness']"
Tropical Spa,Phu Quoc,4.3,"['spa', 'tropical', 'natural']",10.2899,103.9840,"Spa nhiệt đới tự nhiên","natural_spa",3.0,"Spa","['tropical_setting', 'natural_treatments', 'island_atmosphere']"
